name,type1,type2,type3,lon,lat
天坛公园-祈年殿,风景名胜,风景名胜,风景名胜,116.412949,39.883362
协和医院住宅群,商务住宅,住宅区,宿舍|风景名胜;风景名胜;风景名胜,116.420575,39.910232
双流老妈兔头(双井店),餐饮服务,中餐厅,中餐厅,116.461947,39.890285
尚街购物中心,购物服务,商场,普通商场,116.517247,39.917018
团结湖公园,风景名胜,公园广场,公园,116.464372,39.92575
百花人家(门城水岸店),餐饮服务,中餐厅,中餐厅,116.117453,39.942342
国华商场,购物服务,商场,普通商场,116.363903,39.898964
卧佛寺,风景名胜,风景名胜,寺庙道观,116.207260,40.008041
北京西山国家森林公园,风景名胜,风景名胜,省级景点,116.194722,39.976561
清华园(二校门),风景名胜,风景名胜,风景名胜,116.324387,40.001255
中关村科贸电子城,购物服务,家电电子卖场,数码电子,116.317569,39.983374
大董烤鸭店(工体店),餐饮服务,中餐厅,特色/地方风味餐厅,116.449470,39.931924
罗兰湖餐厅,餐饮服务,外国餐厅,韩国料理,116.479284,39.973905
家乐福(方庄店),购物服务,超级市场,家乐福,116.432487,39.866392
十三陵-昭陵,风景名胜,风景名胜,世界遗产,116.217839,40.291249
中发百旺商城,购物服务,商场,普通商场,116.276722,40.029156
京华九门小吃,餐饮服务,中餐厅,中餐厅,116.382013,39.946035
常营清真古寺,风景名胜,风景名胜,回教寺,116.587294,39.925603
鲁迅故居,风景名胜,风景名胜,纪念馆,116.358730,39.925804
上品折扣(五棵松店),购物服务,商场,普通商场,116.2802295,39.90067003
望京华彩商业中心,购物服务,商场,购物中心,116.468883,40.010824
十三陵-定陵地下宫殿,风景名胜,风景名胜,世界遗产,116.223516,40.29588
延寿寺,风景名胜,风景名胜,寺庙道观,116.330668,40.371081
北海公园-白塔,风景名胜,风景名胜,风景名胜,116.389312,39.925815
中关村广场步行街,购物服务,特色商业街,步行街|购物服务;商场;商场,116.314959,39.980188
老舍茶馆(前门店),餐饮服务,茶艺馆,茶艺馆,116.393386,39.899782
三里屯太古里南区,购物服务,商场,普通商场,116.454406,39.934862
天主教北京总教区王府井天主堂东堂,风景名胜,风景名胜,教堂,116.412069,39.917284
海淀公园,风景名胜,公园广场,公园,116.295215,39.987007
金源新燕莎Mall,购物服务,商场,购物中心,116.289085,39.95868951
八达岭国家森林公园,风景名胜,风景名胜,省级景点,116.029451,40.34431
翠微百货(牡丹园店),购物服务,商场,普通商场,116.367258,39.977312
北京张裕爱斐堡国际酒庄,风景名胜,风景名胜,国家级景点,116.900855,40.376438
天主堂,风景名胜,风景名胜,教堂,116.407049,40.067697
天主堂,风景名胜,风景名胜,教堂,116.357654,40.067599
元古(箭厂店),餐饮服务,甜品店,甜品店|购物服务;购物相关场所;购物相关场所,116.411732,39.947106
北京四道口水产批发市场,购物服务,综合市场,水产海鲜市场,116.344954,39.962549
大佛寺,风景名胜,风景名胜,寺庙道观,116.385072,40.064527
法雅体育(皂君庙店),购物服务,商场,普通商场,116.335892,39.959031
京开畅坤五金建材,购物服务,家居建材市场,建材五金市场,116.342933,39.669261
京兆尹(雍和宫店),餐饮服务,中餐厅,中式素菜馆,116.416317,39.948001
银泰百货(大红门店),购物服务,商场,普通商场,116.385447,39.844532
西红门清真寺,风景名胜,风景名胜,回教寺,116.341621,39.791154
华宇时尚购物中心,购物服务,商场,购物中心,116.323482,39.965355
西部马华牛肉面(五道口店),餐饮服务,中餐厅,清真菜馆,116.352202,39.993088
西单商场(万方店),购物服务,商场,普通商场,116.341064,39.913563
清真寺,风景名胜,风景名胜,回教寺,116.461583,39.823165
玫瑰花园自助烤肉(金源店),餐饮服务,外国餐厅,韩国料理,116.288031,39.960288
蟒山国家森林公园,风景名胜,风景名胜,省级景点,116.293542,40.26432
锦绣餐厅(阜荣街),餐饮服务,外国餐厅,西餐厅(综合风味),116.481179,39.989880
中国人民抗日战争纪念馆,风景名胜,风景名胜,纪念馆,116.22593,39.851813
川骄海鲜自助(万豪店),餐饮服务,中餐厅,海鲜酒楼,116.434310,39.904309
周口店遗址,风景名胜,风景名胜,世界遗产,115.928439,39.68808
云居寺,风景名胜,风景名胜,寺庙道观,115.774095,39.609241
窑洼湖公园,风景名胜,公园广场,公园|风景名胜;风景名胜;风景名胜,116.484149,39.882306
运河公园,风景名胜,公园广场,公园,116.687587,39.908647
利群烤鸭店(前门店),餐饮服务,中餐厅,特色/地方风味餐厅,116.406201,39.898419
十三陵水库,风景名胜,风景名胜,风景名胜,116.251740,40.264679
巴依老爷新疆美食(清华东门店),餐饮服务,中餐厅,清真菜馆,116.335565,39.997133
大中电器(中央电视塔店),购物服务,家电电子卖场,大中,116.308468,39.919360
盒马鲜生(小营店),购物服务,超级市场,超市,116.349056,40.043446
观音古寺,风景名胜,风景名胜,寺庙道观,116.669004,39.888586
香木香羊(小汤山店),餐饮服务,中餐厅,中餐厅,116.394466,40.132636
火车头广场,风景名胜,公园广场,城市广场,116.497237,39.984082
房山十渡风景名胜区,风景名胜,风景名胜,省级景点,115.599755,39.638269
海底捞火锅(大屯北路店),餐饮服务,中餐厅,火锅店,116.412728,40.006152
家乐福(大钟寺店),购物服务,超级市场,家乐福,116.342469,39.966411
赛特购物中心,购物服务,商场,购物中心,116.441667,39.907636
大钟寺中坤广场,购物服务,商场,购物中心,116.341806,39.966257
王家渡火锅(奥运村店),餐饮服务,中餐厅,火锅店,116.400841,40.004408
悠航鲜啤(三里屯店),餐饮服务,中餐厅,中餐厅,116.455649,39.930973
颐和,风景名胜,风景名胜,风景名胜,116.422672,39.928231
1點點(建外SOHO店),餐饮服务,餐饮相关场所,餐饮相关,116.458238,39.905520
东单公园,风景名胜,公园广场,公园,116.417106,39.904896
休闲园-娱乐园,风景名胜,公园广场,公园,116.288165,39.928663
莲石湖湿地公园,风景名胜,公园广场,公园,116.151178,39.904345
百荣世贸商城A座,购物服务,商场,购物中心,116.3988615,39.8598074
中粮·祥云小镇北区,购物服务,商场,购物中心,116.536659,40.089611
八达岭滑雪场,体育休闲服务,运动场馆,滑雪场|风景名胜;风景名胜相关;旅游景点,115.957836,40.34703
北京古观象台,风景名胜,风景名胜,风景名胜,116.434321,39.907102
当代商城,购物服务,商场,购物中心,116.320883,39.970543
四季民福烤鸭店(东四十条店),餐饮服务,中餐厅,特色/地方风味餐厅,116.430109,39.933972
玉泉山,风景名胜,风景名胜,风景名胜,116.247491,39.994177
沃尔玛(北京建国路店),购物服务,超级市场,沃尔玛,116.472557,39.909345
中山公园-社稷坛,风景名胜,风景名胜,风景名胜,116.394841,39.911168
京深海鲜市场(光彩路),购物服务,综合市场,水产海鲜市场,116.416789,39.841746
胡大饭馆(簋街总店),餐饮服务,中餐厅,四川菜(川菜),116.419431,39.941160
百花山自然风景区,风景名胜,风景名胜,风景名胜,115.574133,39.823536
永宁古城墙遗址,风景名胜,风景名胜,风景名胜,116.169281,40.529636
龙泉,风景名胜,风景名胜,风景名胜,116.529776,40.947620
海底捞火锅(通州华联店),餐饮服务,中餐厅,火锅店,116.635982,39.904003
北京新发地农产品批发市场,购物服务,综合市场,农副产品市场,116.341474,39.811444
盛百味(霍营店),餐饮服务,中餐厅,中餐厅,116.358504,40.081491
三源里菜市场,购物服务,综合市场,蔬菜市场,116.456952,39.951197
大董烤鸭店(王府井店),餐饮服务,中餐厅,特色/地方风味餐厅,116.410882,39.910352
大鸭梨烤鸭(六里桥店),餐饮服务,中餐厅,特色/地方风味餐厅,116.320561,39.874649
Tomacado花厨(王府中环),餐饮服务,外国餐厅,西餐厅(综合风味),116.409691,39.912293
大中电器(团结湖店),购物服务,家电电子卖场,大中,116.466582,39.923615
北京湖广会馆,风景名胜,风景名胜,风景名胜,116.384034,39.888904
